date,mean_SWE,Discharge,Precipitation,tmax,tmin,longwave_radiation,shortwave_radiation,wind,hum
10/1/2003,0,25.3,0,17.09,4.39,243.26,215.82,2.9247,41.37430666
10/2/2003,0,25.9,0,16.68,1.49,226.9,216.21,1.0515,35.8865541
10/3/2003,0,26.3,0,15.61,0.52,256.19,196.75,2.3103,40.00971351
10/4/2003,0,26.1,0,16.09,3.33,250.28,208.64,1.3649,39.15043049
10/5/2003,0,26,0,16.62,2.3,250.64,195.78,1.8333,38.06918575
10/6/2003,0,26.3,0,18.33,2.38,246.24,205.55,2.1321,41.22166908
10/7/2003,0,25.3,0,18.4,3.9,244.91,197.26,0.9262,40.23870713
10/8/2003,0,24.4,0,19.47,4.82,242.51,202.02,2.313,31.46882397
10/9/2003,0,23.3,0,16.98,4.27,233.35,201.53,3.2502,28.31663023
10/10/2003,0,23.2,0.69,10.35,-2.07,206.44,203.56,1.8141,28.26709731
10/11/2003,0,23.8,0,16.99,-0.8,217.88,197.67,1.6088,22.65277865
10/12/2003,0,23.6,0,17.43,-0.2,232.37,194.11,2.2521,35.77171094
10/13/2003,0,23.3,0,16.49,-3.33,213.31,197.52,1.1712,24.21267207
10/14/2003,0,23.1,0,15.83,2.18,220.62,193.23,2.5618,23.94476402
10/15/2003,0,21.6,0,14.76,2.26,211.39,194.42,3.3538,27.21983105
10/16/2003,0,21.4,0,18.01,1.87,221.31,189.15,1.8735,25.69441419
10/17/2003,0,21.7,0,19.98,2.96,228.68,187.69,2.0603,26.00368131
10/18/2003,0,21.7,0,16.99,3.84,224.67,179.79,4.0924,17.35069642
10/19/2003,0,21.7,0,18.16,4.37,239.88,182,3.3373,39.84412134
10/20/2003,0,21.3,0,20.47,3.85,220.79,182.97,2.9921,22.0951631
10/21/2003,0,21.4,0,21.52,3.87,224.95,181.65,3.172,22.00961935
10/22/2003,0,21.3,0,18.1,4.24,217.63,179.75,3.4034,20.07468472
10/23/2003,0,20.8,0,14.48,-1.11,225.96,177.13,0.3869,20.82887841
10/24/2003,0,20.3,0,18.49,-2.02,205.75,175.64,1.2803,21.04931929
10/25/2003,0,20.5,0,14.77,-1.26,219.19,171.7,2.6264,17.20242252
10/26/2003,0,20.7,0,16.33,0.3,230.61,168.37,3.1417,25.42174811
10/27/2003,0,25.4,0,17.16,0.68,214.7,171.43,2.6141,24.02810613
10/28/2003,0,29.2,0,19.55,2.32,235.53,163.4,2.5567,27.64264484
10/29/2003,0,28.9,0,11.86,0.46,228.8,163.29,5.2944,30.61201086
10/30/2003,0,27.3,3.17,0.55,-10.05,181.87,166.48,6.8649,51.61895082
10/31/2003,0,24.2,7.59,-4.26,-10.71,236.42,88.27,2.047,62.07767092
11/1/2003,0,31.2,0.94,-1.25,-13.76,216.12,148.85,0.2663,74.35581249
