Model,Metrics,Discharge,,,Snow Water Equivalent,,
,,Calibration,Validation,Testing,Calibration,Validation,Testing
SWAT,NSE,0.77,0.81,0.88,-0.48,-0.3,0.15
SWAT,KGE,0.62,0.71,0.79,-0.36,-0.38,-0.02
SWAT,PBIAS,-31.99%,-26.18%,-18.23%,-92.40%,-93.60%,-75.50%
LSTM - 2D,NSE,0.91,0.92,0.83,0.87,0.79,0.72
LSTM - 2D,KGE,0.88,0.9,0.91,0.68,0.53,0.5
LSTM - 2D,PBIAS,11.31%,-4.27%,2.39%, -20.15%, -29.67%,-31.40%
LSTM - 1D  ,NSE,0.96,0.84,0.92,0.9,0.67,0.77
LSTM - 1D  ,KGE,0.91,0.65,0.82,0.89,0.78,0.65
LSTM - 1D  ,PBIAS,-7.93%,-28.80%,-18.08%  ,-2.35%,1.30%,-17.75%
LSTM - CA,NSE,0.94,0.81,0.89,0.82,0.69,0.68
LSTM - CA,KGE,0.93,0.72,0.84,0.83,0.74,0.55
LSTM - CA,PBIAS,-1.56%,-23.34%,-15.09%,-9.57%,-10.02%,-26.13%
LSTM - Phase  ,NSE,0.87,0.86,0.9,0.89,0.67,0.78
LSTM - Phase  ,KGE,0.71,0.87,0.95  ,0.87,0.8,0.67
LSTM - Phase  ,PBIAS,22.45%,-8.09%,-1.02%    ,-6.83%,-0.72%,-18.32%
LSTM - Melt,NSE,0.89,0.84,0.91,0.84,0.67,0.77
LSTM - Melt,KGE,0.76,0.85,0.94,0.81,0.75,0.65
LSTM - Melt,PBIAS,20.52%,-8.41%,-3.54%,-10.42%,-5.62%,-19.26%
